t,v_AAPL,vw,o_AAPL,c_AAPL,h_AAPL,l_AAPL,n,t_a,AAPL_SMA_10,AAPL_SMA_50,AAPL_Returns
2023-12-11,60943699.0,192.7089,193.11,193.18,193.49,191.42,691172,2023-12-11 05:00:00,191.929,181.915,-0.012927290378621392
2023-12-12,52696900.0,193.7834,193.08,194.71,194.72,191.721,510768,2023-12-12 05:00:00,192.36,182.33419999999998,0.007920074541878153
2023-12-13,70404183.0,196.9085,195.09,197.96,198.0,194.85,672552,2023-12-13 05:00:00,193.219,182.8454,0.016691489908068347
2023-12-14,66831572.0,198.2872,198.02,198.11,199.62,196.16,691862,2023-12-14 05:00:00,194.03500000000003,183.33440000000002,0.0007577288341078514
2023-12-15,127387901.0,197.56,197.53,197.57,198.3999,197.0,625452,2023-12-15 05:00:00,194.668,183.78760000000003,-0.0027257584170411464
2023-12-18,55751861.0,195.6255,196.09,195.89,196.63,194.39,655763,2023-12-18 05:00:00,195.31400000000002,184.15560000000002,-0.008503315280660062
2023-12-19,40714051.0,196.5277,196.16,196.94,196.95,195.89,451709,2023-12-19 05:00:00,195.666,184.5146,0.005360151105212152
2023-12-20,52242815.0,196.142,196.9,194.83,197.68,194.83,550599,2023-12-20 05:00:00,195.917,184.8434,-0.010713923022240168
2023-12-21,46482549.0,194.7425,196.1,194.68,197.08,193.5,554844,2023-12-21 05:00:00,195.95800000000003,185.14100000000002,-0.0007699019658163886
2023-12-22,37149570.0,194.1013,195.18,193.6,195.41,192.97,500544,2023-12-22 05:00:00,195.747,185.39880000000002,-0.005547565235257901
2023-12-26,28919310.0,193.1713,193.61,193.05,193.89,192.83,488257,2023-12-26 05:00:00,195.73399999999998,185.6828,-0.0028409090909089496
2023-12-27,48087681.0,192.5679,192.49,193.15,193.5,191.09,548076,2023-12-27 05:00:00,195.578,185.9714,0.0005180005180005498
2023-12-28,34049898.0,193.9222,194.14,193.58,194.66,193.17,472404,2023-12-28 05:00:00,195.14,186.3,0.0022262490292519477
2023-12-29,42672148.0,192.5761,193.9,192.53,194.4,191.725,509123,2023-12-29 05:00:00,194.58200000000002,186.6338,-0.00542411406137
2024-01-02,81964874.0,185.9465,187.15,185.64,188.44,183.885,1008871,2024-01-02 05:00:00,193.389,186.83739999999997,-0.0357866306549629
2024-01-03,58414460.0,184.3226,184.22,184.25,185.88,183.43,656853,2024-01-03 05:00:00,192.225,187.0648,-0.007487610428786873
2024-01-04,71878670.0,182.0183,182.15,181.91,183.0872,180.88,712692,2024-01-04 05:00:00,190.722,187.243,-0.012700135685210334
2024-01-05,62371161.0,181.474,181.99,181.18,182.76,180.17,682334,2024-01-05 05:00:00,189.357,187.3978,-0.004012973448408452
2024-01-08,59144470.0,184.3702,182.085,185.56,185.6,181.5,669173,2024-01-08 05:00:00,188.445,187.68699999999998,0.024174853736615542
2024-01-09,42841809.0,184.3706,183.92,185.14,185.15,182.73,538180,2024-01-09 05:00:00,187.599,188.05200000000002,-0.0022634188402673727
2024-01-10,46192908.0,185.2509,184.35,186.19,186.4,183.92,554777,2024-01-10 05:00:00,186.913,188.4114,0.005671383817651643
2024-01-11,49128408.0,185.0604,186.54,185.59,187.05,183.62,584008,2024-01-11 05:00:00,186.15699999999998,188.71739999999997,-0.0032225146355873147
2024-01-12,40477782.0,185.8199,186.06,185.92,186.74,185.19,477050,2024-01-12 05:00:00,185.39100000000002,189.0204,0.0017781130448837335
2024-01-16,65076641.0,182.8866,182.16,183.63,184.26,180.934,767281,2024-01-16 05:00:00,184.501,189.2136,-0.012317125645438853
2024-01-17,47317433.0,181.9201,181.27,182.68,182.93,180.3,594632,2024-01-17 05:00:00,184.20499999999998,189.31580000000002,-0.005173446604585297
2024-01-18,77722754.0,187.9358,186.09,188.63,189.14,185.83,787233,2024-01-18 05:00:00,184.643,189.55540000000002,0.03257061528355587
2024-01-19,68887985.0,190.6149,189.33,191.56,191.95,188.82,682663,2024-01-19 05:00:00,185.608,189.80200000000002,0.015533054127127244
2024-01-22,60131852.0,193.9891,192.3,193.89,195.33,192.26,718107,2024-01-22 05:00:00,186.879,190.0434,0.012163290874921628
2024-01-23,42355590.0,194.8203,195.02,195.18,195.75,193.8299,533093,2024-01-23 05:00:00,187.84099999999998,190.2892,0.006653257001392632
2024-01-24,53631316.0,195.2063,195.42,194.5,196.38,194.34,594714,2024-01-24 05:00:00,188.777,190.53099999999998,-0.003483963520852562
2024-01-25,54822126.0,194.7337,195.22,194.17,196.2675,193.1125,644526,2024-01-25 05:00:00,189.575,190.6864,-0.0016966580976864876
2024-01-26,44587111.0,193.1207,194.27,192.42,194.76,191.94,534165,2024-01-26 05:00:00,190.25799999999998,190.83879999999996,-0.009012720811659936
2024-01-29,47145622.0,191.2954,192.01,191.73,192.2,189.58,599513,2024-01-29 05:00:00,190.839,190.92460000000003,-0.003585905830994718
2024-01-30,55836970.0,188.7927,190.94,188.04,191.8,187.47,690705,2024-01-30 05:00:00,191.28,190.92520000000002,-0.019245814426537278
2024-01-31,55467803.0,185.3525,187.04,184.4,187.095,184.35,679844,2024-01-31 05:00:00,191.452,190.819,-0.019357583492873753
2024-02-01,64885408.0,185.5688,183.985,186.86,186.95,183.82,820977,2024-02-01 05:00:00,191.275,190.7624,0.013340563991323329
2024-02-02,102527680.0,184.744,179.86,185.85,187.33,179.25,1108465,2024-02-02 05:00:00,190.704,190.65040000000002,-0.005405116129722942
2024-02-05,69654320.0,187.6824,188.15,187.68,189.25,185.84,804748,2024-02-05 05:00:00,190.08300000000003,190.59120000000001,0.00984665052461664
2024-02-06,43490759.0,188.4788,186.86,189.3,189.31,186.7695,530825,2024-02-06 05:00:00,189.495,190.551,0.008631713554987153
2024-02-07,53438955.0,189.3803,190.64,189.41,191.05,188.61,596088,2024-02-07 05:00:00,188.98600000000002,190.53979999999999,0.0005810882197569978
2024-02-08,40962046.0,188.3032,189.385,188.32,189.535,187.35,521464,2024-02-08 05:00:00,188.401,190.5104,-0.005754712000422435
2024-02-09,45155216.0,189.0056,188.65,188.85,189.99,188.0,544714,2024-02-09 05:00:00,188.044,190.4794,0.0028143585386575243
