t,v_ABT,vw,o_ABT,c_ABT,h_ABT,l_ABT,n,t_a,ABT_SMA_10,ABT_SMA_50,ABT_Returns
2023-12-11,5208402.0,105.8682,104.21,106.22,106.25,104.21,63253,2023-12-11 05:00:00,104.41199999999999,97.6794,0.016362070615252078
2023-12-12,5354557.0,106.6599,106.37,106.68,107.22,105.56,63129,2023-12-12 05:00:00,104.874,97.8984,0.00433063453210325
2023-12-13,6534777.0,106.7975,106.01,107.25,107.28,105.9,68994,2023-12-13 05:00:00,105.23599999999999,98.12759999999999,0.005343082114735553
2023-12-14,6611835.0,108.2428,107.83,108.6,108.665,106.68,78375,2023-12-14 05:00:00,105.667,98.3866,0.012587412587412583
2023-12-15,13316296.0,107.2579,107.86,107.29,107.97,106.51,77417,2023-12-15 05:00:00,105.90799999999999,98.6084,-0.012062615101289031
2023-12-18,5142887.0,108.0991,107.64,108.06,108.62,107.16,57479,2023-12-18 05:00:00,106.19500000000001,98.83200000000001,0.007176810513561449
2023-12-19,4675105.0,108.2558,108.15,108.42,108.715,107.43,56247,2023-12-19 05:00:00,106.602,99.0652,0.003331482509716821
2023-12-20,5666298.0,107.9473,107.85,107.4,108.82,107.3,67762,2023-12-20 05:00:00,106.848,99.262,-0.009407858328721597
2023-12-21,3555633.0,108.2171,107.42,108.48,108.68,107.18,50996,2023-12-21 05:00:00,107.29100000000001,99.57879999999999,0.010055865921787754
2023-12-22,2565722.0,109.0006,108.855,109.03,109.34,108.5,39291,2023-12-22 05:00:00,107.74300000000001,99.95560000000002,0.005070058997050042
2023-12-26,2513454.0,109.2244,108.51,109.23,109.73,108.51,39952,2023-12-26 05:00:00,108.04400000000001,100.32279999999999,0.0018343575162800274
2023-12-27,2471820.0,109.5785,109.04,109.79,109.8,109.04,36582,2023-12-27 05:00:00,108.35500000000002,100.675,0.00512679666758209
2023-12-28,3206121.0,110.3876,109.85,110.4,110.71,109.715,42445,2023-12-28 05:00:00,108.67,101.0402,0.005556061572092208
2023-12-29,3550304.0,110.1456,110.4,110.07,110.73,109.83,45022,2023-12-29 05:00:00,108.81700000000001,101.33040000000001,-0.002989130434782772
2024-01-02,5058688.0,110.1414,109.56,109.85,111.0,109.56,60249,2024-01-02 05:00:00,109.07300000000001,101.6186,-0.0019987280821295306
2024-01-03,4239623.0,109.611,110.14,109.52,110.25,109.29,48984,2024-01-03 05:00:00,109.21900000000001,101.8734,-0.0030040964952207094
2024-01-04,5296139.0,110.7763,109.68,110.98,111.03,109.51,52672,2024-01-04 05:00:00,109.475,102.17740000000002,0.013330898466033636
2024-01-05,4127750.0,110.7004,110.71,110.8,111.05,110.03,47303,2024-01-05 05:00:00,109.81499999999998,102.49719999999999,-0.0016219138583528636
2024-01-08,5030376.0,111.9896,111.13,112.4,112.52,110.92,52854,2024-01-08 05:00:00,110.207,102.87380000000002,0.014440433212996373
2024-01-09,3802118.0,112.8241,112.15,112.73,113.54,112.06,49014,2024-01-09 05:00:00,110.577,103.24879999999999,0.0029359430604982695
2024-01-10,4672114.0,113.977,113.05,114.4,114.41,112.805,60410,2024-01-10 05:00:00,111.09400000000001,103.67980000000001,0.014814157721990684
2024-01-11,5163897.0,113.3019,113.255,113.5,113.73,112.585,62347,2024-01-11 05:00:00,111.465,104.08980000000001,-0.00786713286713292
2024-01-12,3884932.0,113.9226,114.17,113.92,114.94,113.45,45742,2024-01-12 05:00:00,111.81700000000001,104.47720000000001,0.0037004405286342745
