t,v_BA,vw,o_BA,c_BA,h_BA,l_BA,n,t_a,BA_SMA_10,BA_SMA_50,BA_Returns
2023-12-11,7545047.0,246.3187,243.5,248.08,248.08,243.31,95657,2023-12-11 05:00:00,234.833,202.0212,0.013812832039231893
2023-12-12,5689220.0,249.0632,247.95,248.63,250.5686,247.4,87064,2023-12-12 05:00:00,237.459,203.2372,0.00221702676555946
2023-12-13,5513393.0,250.1523,249.1,250.91,251.87,247.5316,90251,2023-12-13 05:00:00,240.10699999999997,204.477,0.009170252986365313
2023-12-14,7883554.0,253.5861,250.91,256.24,257.12,249.26,122699,2023-12-14 05:00:00,242.56800000000004,205.86720000000003,0.021242676656968662
2023-12-15,14995889.0,262.6558,255.7,264.27,265.52,255.7,167175,2023-12-15 05:00:00,245.608,207.42680000000001,0.03133780830471422
2023-12-18,6115917.0,261.4821,260.63,260.41,263.13,260.25,113867,2023-12-18 05:00:00,248.16199999999998,208.8874,-0.014606273886555221
2023-12-19,6089492.0,263.3905,261.04,263.51,265.34,260.8001,102094,2023-12-19 05:00:00,251.09700000000004,210.38780000000003,0.011904304750201433
2023-12-20,5151674.0,262.7844,262.25,260.25,266.1298,260.15,84831,2023-12-20 05:00:00,253.43300000000005,211.72220000000002,-0.012371447003908687
2023-12-21,6487150.0,262.3724,265.95,262.02,267.54,260.19,99460,2023-12-21 05:00:00,255.902,213.0412,0.006801152737752059
2023-12-22,4433959.0,260.6474,261.83,260.44,262.8424,259.2,69058,2023-12-22 05:00:00,257.476,214.42399999999998,-0.006030074040149547
2023-12-26,3938565.0,262.4486,259.8,262.79,263.7599,259.54,57479,2023-12-26 05:00:00,258.947,215.9816,0.009023191522039786
2023-12-27,3484867.0,262.3236,262.63,262.1,264.66,260.9,57912,2023-12-27 05:00:00,260.294,217.525,-0.0026256706876213176
2023-12-28,5087223.0,259.6878,261.53,260.35,262.1,257.68,79797,2023-12-28 05:00:00,261.238,219.02,-0.006676840900419645
2023-12-29,3686554.0,260.8982,260.67,260.66,262.22,259.5613,58754,2023-12-29 05:00:00,261.68,220.5194,0.001190704820434041
2024-01-02,5815219.0,253.5573,257.28,251.76,258.59,250.87,105365,2024-01-02 05:00:00,260.429,221.89880000000002,-0.0341440957569249
2024-01-03,7219930.0,245.989,248.32,243.91,250.13,243.0,107188,2024-01-03 05:00:00,258.779,223.1762,-0.03118048935494122
2024-01-04,5170739.0,246.1371,244.58,244.94,248.28,244.18,72768,2024-01-04 05:00:00,256.92199999999997,224.4544,0.004222869091058179
2024-01-05,3849746.0,248.2812,245.04,249.0,250.19,245.04,63969,2024-01-05 05:00:00,255.79699999999997,225.7872,0.01657548787458163
2024-01-08,40730433.0,229.9861,228.0,229.0,233.85,225.79,508678,2024-01-08 05:00:00,252.49499999999998,226.81259999999997,-0.08032128514056225
2024-01-09,20687539.0,226.1244,225.66,225.76,228.7899,223.2,264877,2024-01-09 05:00:00,249.02700000000004,227.746,-0.014148471615720526
2024-01-10,12883738.0,228.8344,226.9,227.84,231.6099,226.64,173746,2024-01-10 05:00:00,245.53199999999998,228.709,0.009213323883770386
2024-01-11,11830489.0,224.3753,228.07,222.66,228.28,222.62,170847,2024-01-11 05:00:00,241.58800000000002,229.5152,-0.022735252808988804
2024-01-12,11285521.0,218.556,219.97,217.7,222.07,217.04,171635,2024-01-12 05:00:00,237.323,230.13280000000003,-0.022276116051378803
2024-01-16,34972141.0,202.7683,210.07,200.52,210.98,199.5,436565,2024-01-16 05:00:00,231.30899999999997,230.35559999999998,-0.07891593936610009
2024-01-17,20136513.0,203.366,202.63,203.06,206.3,201.65,255977,2024-01-17 05:00:00,226.439,230.57660000000004,0.012667065629363705
2024-01-18,20045457.0,209.5531,205.64,211.61,213.04,203.315,242870,2024-01-18 05:00:00,223.209,230.90779999999998,0.0421057815424013
2024-01-19,14345444.0,212.5576,210.89,215.02,215.16,209.23,161418,2024-01-19 05:00:00,220.217,231.34920000000002,0.016114550352062773
2024-01-22,10760764.0,214.1591,213.07,214.93,217.0,212.36,129183,2024-01-22 05:00:00,216.81,231.81959999999998,-0.0004185657148172428
2024-01-23,9050418.0,213.1837,215.35,211.5,216.85,211.13,128510,2024-01-23 05:00:00,215.06,232.213,-0.015958684222770247
