t,v_BRK.B,vw,o_BRK.B,c_BRK.B,h_BRK.B,l_BRK.B,n,t_a,BRK.B_SMA_10,BRK.B_SMA_50,BRK.B_Returns
2023-12-11,3111595.0,356.6206,355.0,357.06,357.49,354.21,70732,2023-12-11 05:00:00,356.272,349.17080000000004,0.011272232921717418
2023-12-12,3193023.0,359.5339,357.9,360.02,360.405,356.76,67875,2023-12-12 05:00:00,356.269,349.4096,0.008289923262196686
2023-12-13,3161868.0,361.3117,360.19,362.03,362.15,359.0433,65621,2023-12-13 05:00:00,356.60299999999995,349.7894,0.00558302316537973
2023-12-14,5516384.0,358.5962,364.05,358.12,364.05,356.38,114779,2023-12-14 05:00:00,356.415,350.078,-0.010800209927353976
2023-12-15,8579201.0,355.7951,357.63,356.5,358.0,354.2,98166,2023-12-15 05:00:00,356.358,350.3068,-0.004523623366469387
2023-12-18,4357792.0,359.7214,357.42,359.65,361.14,357.0,76799,2023-12-18 05:00:00,356.657,350.57300000000004,0.008835904628330837
2023-12-19,3085367.0,361.3779,360.15,361.8,362.55,359.09,66538,2023-12-19 05:00:00,357.33399999999995,350.9,0.005978034199916715
2023-12-20,3930397.0,357.7227,361.52,355.35,361.66,355.12,77471,2023-12-20 05:00:00,357.631,351.03579999999994,-0.01782752902155882
2023-12-21,2852723.0,355.5744,356.02,356.14,357.2,353.63,66277,2023-12-21 05:00:00,357.975,351.19,0.002223160264527735
2023-12-22,2333775.0,356.594,356.5,356.47,358.26,355.4063,56612,2023-12-22 05:00:00,358.31399999999996,351.40619999999996,0.0009266018981299862
2023-12-26,1965105.0,356.8106,356.9,356.83,357.77,356.08,45801,2023-12-26 05:00:00,358.291,351.64099999999996,0.001009902656604833
2023-12-27,2478787.0,356.4831,355.93,356.95,357.08,355.5,53214,2023-12-27 05:00:00,357.98400000000004,351.85540000000003,0.000336294594064368
2023-12-28,2742792.0,357.7446,357.48,357.57,358.68,356.725,65903,2023-12-28 05:00:00,357.538,352.099,0.0017369379464911017
2023-12-29,3270014.0,356.6883,357.56,356.66,357.86,355.31,69907,2023-12-29 05:00:00,357.392,352.4144,-0.002544956232346074
2024-01-02,4740903.0,360.9097,356.32,362.46,362.57,355.94,100105,2024-01-02 05:00:00,357.988,352.8904,0.016261986205349466
2024-01-03,4322822.0,366.1056,362.08,366.75,367.85,361.071,96915,2024-01-03 05:00:00,358.69800000000004,353.5082,0.011835788776692668
2024-01-04,4144302.0,365.397,367.41,363.68,369.37,363.41,77775,2024-01-04 05:00:00,358.886,354.045,-0.008370824812542588
2024-01-05,2958766.0,365.3039,364.83,365.59,366.3008,364.19,64281,2024-01-05 05:00:00,359.91,354.5842,0.00525186977562675
2024-01-08,3454065.0,366.946,366.01,368.18,368.3,364.2,69367,2024-01-08 05:00:00,361.114,355.20980000000003,0.007084438852266395
