t,v_JNJ,vw,o_JNJ,c_JNJ,h_JNJ,l_JNJ,n,t_a,JNJ_SMA_10,JNJ_SMA_50,JNJ_Returns
2023-12-11,6090360.0,154.9007,154.5,155.06,155.48,154.35,87703,2023-12-11 05:00:00,155.571,152.7218,0.004144540862582646
2023-12-12,5324406.0,154.8094,155.0,155.07,155.32,153.65,80405,2023-12-12 05:00:00,155.915,152.7202,6.449116471030081e-05
2023-12-13,10764575.0,154.7494,153.66,155.79,155.94,151.77,113754,2023-12-13 05:00:00,156.283,152.7292,0.004643064422518828
2023-12-14,9240800.0,156.369,156.47,156.87,157.16,155.0474,112665,2023-12-14 05:00:00,156.504,152.75619999999998,0.006932409012131879
2023-12-15,21727754.0,155.0731,155.49,155.16,156.69,153.76,118733,2023-12-15 05:00:00,156.18200000000002,152.7166,-0.010900745840504933
2023-12-18,7231383.0,155.6116,155.21,155.44,156.44,154.76,94359,2023-12-18 05:00:00,155.838,152.6726,0.0018045888115494346
2023-12-19,6651744.0,156.1435,155.3,156.46,156.5,154.94,90885,2023-12-19 05:00:00,155.629,152.631,0.006562017498713324
2023-12-20,7008313.0,154.2719,156.54,153.27,156.66,153.11,93069,2023-12-20 05:00:00,155.29399999999998,152.5292,-0.020388597724658064
2023-12-21,4598843.0,154.5856,153.69,154.84,155.13,153.3,72525,2023-12-21 05:00:00,155.238,152.5024,0.01024336138839943
2023-12-22,3798865.0,155.6772,155.25,155.46,156.53,155.02,63715,2023-12-22 05:00:00,155.342,152.485,0.0040041332988891565
2023-12-26,4170190.0,155.9968,155.0,156.14,156.35,154.85,64037,2023-12-26 05:00:00,155.45,152.4708,0.004374115528110067
2023-12-27,5288101.0,156.1785,155.5,156.35,156.52,155.42,74814,2023-12-27 05:00:00,155.57800000000003,152.44719999999998,0.0013449468425772437
2023-12-28,4377535.0,156.6615,156.0,156.58,157.24,155.99,69214,2023-12-28 05:00:00,155.657,152.457,0.0014710585225456985
2023-12-29,4313691.0,156.5505,156.51,156.74,156.9,155.98,64877,2023-12-29 05:00:00,155.644,152.5372,0.0010218418699705634
