t,v_MA,vw,o_MA,c_MA,h_MA,l_MA,n,t_a,MA_SMA_10,MA_SMA_50,MA_Returns
2023-12-11,2235989.0,415.3427,412.46,415.71,416.17,412.38,48119,2023-12-11 05:00:00,411.534,396.17580000000004,0.008613159937888026
2023-12-12,2736706.0,419.3677,417.0,420.75,421.0,414.7,51436,2023-12-12 05:00:00,412.70799999999997,396.6738,0.01212383632820968
2023-12-13,3694400.0,423.257,421.86,424.68,426.37,419.145,65278,2023-12-13 05:00:00,414.19399999999996,397.3462,0.00934046345811046
2023-12-14,3977225.0,419.5789,425.01,418.56,425.85,415.9,90384,2023-12-14 05:00:00,414.66700000000003,397.8422,-0.014410850522746599
2023-12-15,5566617.0,417.3309,412.62,418.57,419.26,411.6,68406,2023-12-15 05:00:00,415.088,398.32959999999997,2.389143730874288e-05
2023-12-18,2686978.0,423.6566,419.53,424.43,425.09,419.53,53070,2023-12-18 05:00:00,416.70799999999997,398.8588,0.014000047781733027
2023-12-19,2256348.0,424.9332,424.05,425.47,426.6799,422.52,46251,2023-12-19 05:00:00,418.3860000000001,399.47339999999997,0.002450345168814705
2023-12-20,3058344.0,422.8747,425.08,419.45,427.61,419.24,58643,2023-12-20 05:00:00,419.293,399.855,-0.014149058688039173
2023-12-21,2213253.0,422.5196,421.79,423.44,423.9,420.61,47652,2023-12-21 05:00:00,420.322,400.3276,0.009512456788651757
2023-12-22,1759004.0,424.5927,424.75,424.1,427.165,422.96,37601,2023-12-22 05:00:00,421.51599999999996,400.81160000000006,0.001558662384281151
2023-12-26,1258302.0,423.77,425.0,423.67,425.715,422.95,32821,2023-12-26 05:00:00,422.312,401.3244,-0.0010139118132516112
2023-12-27,1324203.0,424.2136,423.0,424.36,425.0125,422.96,36577,2023-12-27 05:00:00,422.67300000000006,401.7884,0.0016286260532962782
2023-12-28,1505039.0,426.474,423.77,426.32,428.36,423.68,42081,2023-12-28 05:00:00,422.837,402.2794,0.004618719954755379
2023-12-29,1706284.0,426.4248,426.68,426.51,428.35,424.27,38322,2023-12-29 05:00:00,423.63199999999995,402.94539999999995,0.00044567461062117175
2024-01-02,2463746.0,421.645,424.09,421.89,424.28,419.56,59400,2024-01-02 05:00:00,423.96400000000006,403.6258,-0.010832102412604683
2024-01-03,3093684.0,419.4928,421.2,418.77,421.34,417.5001,46933,2024-01-03 05:00:00,423.39799999999997,404.31299999999993,-0.0073952926118182605
2024-01-04,2042551.0,420.7658,418.5,419.77,423.45,418.28,47120,2024-01-04 05:00:00,422.828,405.035,0.0023879456503570484
2024-01-05,2416004.0,419.3941,420.49,419.42,422.76,416.99,49296,2024-01-05 05:00:00,422.825,405.68520000000007,-0.0008337899325820963
2024-01-08,2125446.0,420.252,419.44,421.98,422.08,416.53,55680,2024-01-08 05:00:00,422.679,406.3986,0.006103666968670929
2024-01-09,2439387.0,422.0936,419.1,422.6,423.7,418.54,47283,2024-01-09 05:00:00,422.529,407.55879999999996,0.0014692639461586499
2024-01-10,2709369.0,426.5588,426.0,428.27,429.47,424.1501,57253,2024-01-10 05:00:00,422.9889999999999,408.8426,0.013416942735447135
2024-01-11,2313119.0,427.3432,430.0,426.72,431.79,425.77,50167,2024-01-11 05:00:00,423.225,409.9286,-0.003619212179232667
2024-01-12,1892426.0,429.059,429.95,429.1,431.11,427.7,45207,2024-01-12 05:00:00,423.503,410.9836,0.005577427821522374
2024-01-16,2397988.0,428.2876,427.44,428.35,429.73,426.52,51982,2024-01-16 05:00:00,423.687,411.99420000000003,-0.0017478443253320375
2024-01-17,2690522.0,427.8346,425.48,427.42,430.3793,425.48,50791,2024-01-17 05:00:00,424.23999999999995,412.88879999999995,-0.0021711217462355714
2024-01-18,2075759.0,429.9274,428.64,430.72,431.22,427.45,48055,2024-01-18 05:00:00,425.43500000000006,413.7822,0.007720743063029278
2024-01-19,2400409.0,435.1158,432.55,436.78,437.07,429.34,54462,2024-01-19 05:00:00,427.13599999999997,414.7946,0.014069465081723465
2024-01-22,2715618.0,439.4756,438.98,439.75,440.94,437.26,50175,2024-01-22 05:00:00,429.169,415.8122,0.006799761893859779
2024-01-23,2328662.0,438.7891,440.27,438.76,440.6,437.86,46013,2024-01-23 05:00:00,430.84700000000004,416.7934,-0.0022512791358726414
