t,v_MRK,vw,o_MRK,c_MRK,h_MRK,l_MRK,n,t_a,MRK_SMA_10,MRK_SMA_50,MRK_Returns
2023-12-11,7429918.0,104.4348,104.85,104.37,105.47,103.57,78775,2023-12-11 05:00:00,103.617,103.0332,0.005975903614457767
2023-12-12,7933546.0,104.342,104.48,104.36,104.785,103.42,70948,2023-12-12 05:00:00,104.035,103.06939999999999,-9.58129730765922e-05
2023-12-13,10994979.0,106.3902,104.16,107.11,107.11,103.97,85124,2023-12-13 05:00:00,104.633,103.17620000000001,0.026351092372556506
2023-12-14,10722970.0,105.85,106.68,105.88,107.21,105.14,100509,2023-12-14 05:00:00,104.973,103.25040000000001,-0.0114835216132948
2023-12-15,26393297.0,105.2195,104.89,105.11,106.27,104.26,103594,2023-12-15 05:00:00,105.13799999999999,103.28059999999999,-0.007272383830751794
2023-12-18,12805561.0,106.0967,106.16,106.04,107.21,105.63,78588,2023-12-18 05:00:00,105.23600000000002,103.32379999999999,0.008847873656169902
2023-12-19,8043141.0,106.303,106.05,106.49,106.655,105.44,82256,2023-12-19 05:00:00,105.26199999999999,103.36359999999999,0.00424368162957367
2023-12-20,8441602.0,106.0513,107.14,105.36,107.14,105.24,79896,2023-12-20 05:00:00,105.23499999999999,103.3986,-0.010611325007042871
2023-12-21,5919489.0,106.2059,105.785,106.39,106.61,105.34,63695,2023-12-21 05:00:00,105.48600000000002,103.4572,0.009776006074411647
2023-12-22,6028695.0,107.6945,107.15,107.7,108.06,106.835,60523,2023-12-22 05:00:00,105.881,103.5394,0.012313187329636266
2023-12-26,4727766.0,107.5855,107.5,107.63,108.09,107.22,48903,2023-12-26 05:00:00,106.207,103.61179999999999,-0.0006499535747447327
2023-12-27,5387031.0,107.8603,107.31,107.98,108.07,107.01,55609,2023-12-27 05:00:00,106.569,103.68860000000001,0.0032518814456936607
2023-12-28,5530591.0,108.7198,108.3,108.77,109.06,108.13,59581,2023-12-28 05:00:00,106.73499999999999,103.78059999999999,0.0073161696610482
2023-12-29,5889238.0,109.0254,108.99,109.02,109.24,108.79,68731,2023-12-29 05:00:00,107.049,103.92120000000001,0.0022984278753332976
2024-01-02,11920146.0,112.6222,109.16,113.24,113.32,109.16,121648,2024-01-02 05:00:00,107.862,104.17739999999999,0.03870849385433872
2024-01-03,10721923.0,115.0491,114.27,114.77,115.9,114.16,119326,2024-01-03 05:00:00,108.73499999999999,104.41940000000001,0.0135111268103143
2024-01-04,11492211.0,117.0284,115.92,117.01,117.65,115.86,125262,2024-01-04 05:00:00,109.78699999999999,104.69259999999998,0.019517295460486306
2024-01-05,6861542.0,117.0868,117.1,117.22,117.445,116.64,77747,2024-01-05 05:00:00,110.973,104.9764,0.0017947184001367855
2024-01-08,8193116.0,117.0571,117.59,117.38,117.89,116.18,88163,2024-01-08 05:00:00,112.072,105.25139999999999,0.0013649547858727296
2024-01-09,8822254.0,118.633,117.51,118.43,119.94,117.21,102959,2024-01-09 05:00:00,113.14500000000001,105.509,0.00894530584426656
2024-01-10,7129082.0,118.6067,118.19,118.86,119.17,117.74,81912,2024-01-10 05:00:00,114.26799999999999,105.82979999999999,0.003630836781221003
2024-01-11,5754423.0,118.2703,118.8,118.43,118.9,117.08,78732,2024-01-11 05:00:00,115.31299999999999,106.14479999999999,-0.003617701497560133
2024-01-12,6823300.0,118.4084,118.07,118.63,118.67,117.65,64007,2024-01-12 05:00:00,116.299,106.46340000000001,0.001688761293590968
2024-01-16,6832442.0,118.5253,118.49,118.49,119.34,117.94,80620,2024-01-16 05:00:00,117.24600000000001,106.7762,-0.0011801399308775107
2024-01-17,5591406.0,118.3597,119.18,118.13,119.399,117.605,77387,2024-01-17 05:00:00,117.73499999999999,107.0818,-0.0030382310743523044
2024-01-18,10524719.0,118.1579,117.645,118.54,118.62,116.62,68983,2024-01-18 05:00:00,118.112,107.385,0.003470752560738255
2024-01-19,7605594.0,118.6834,118.21,118.89,119.018,117.7238,76516,2024-01-19 05:00:00,118.3,107.67599999999999,0.0029525898430908804
2024-01-22,8786168.0,119.4847,119.04,119.43,119.97,118.86,83994,2024-01-22 05:00:00,118.521,107.98459999999999,0.004542013626041008
2024-01-23,6501448.0,119.399,118.14,119.84,119.99,117.27,77830,2024-01-23 05:00:00,118.76700000000001,108.2934,0.0034329732897930842
2024-01-24,5859881.0,119.0227,119.7,118.88,119.95,118.44,71754,2024-01-24 05:00:00,118.81200000000001,108.6234,-0.008010680907877266
2024-01-25,6689818.0,119.6028,118.66,120.13,120.18,118.66,84705,2024-01-25 05:00:00,118.93900000000001,108.9982,0.010514804845222159
2024-01-26,8300304.0,120.7511,120.51,120.82,121.02,120.08,85757,2024-01-26 05:00:00,119.178,109.3652,0.005743777574294562
2024-01-29,9138402.0,121.0678,121.345,121.28,121.4646,120.49,86342,2024-01-29 05:00:00,119.44299999999998,109.7474,0.0038073166694256866
2024-01-30,7469479.0,121.2761,121.28,121.66,121.76,120.18,77818,2024-01-30 05:00:00,119.75999999999999,110.15360000000001,0.0031332453825856366
2024-01-31,10772841.0,121.3106,122.53,120.78,122.85,120.5,105301,2024-01-31 05:00:00,120.025,110.52940000000001,-0.00723327305605781
2024-02-01,11650731.0,125.1448,123.65,126.38,126.43,122.77,133670,2024-02-01 05:00:00,120.80900000000001,111.022,0.046365292266931535
2024-02-02,10175595.0,126.7013,126.71,126.41,127.555,126.105,107481,2024-02-02 05:00:00,121.56099999999999,111.4966,0.0002373793321728268
2024-02-05,8027717.0,126.4222,126.98,126.18,127.8,125.7,86509,2024-02-05 05:00:00,122.23599999999999,111.976,-0.0018194763072540976
2024-02-06,6152994.0,126.7635,126.605,126.88,127.52,126.07,86297,2024-02-06 05:00:00,122.94000000000001,112.48,0.005547630369313605
2024-02-07,6742760.0,127.4868,126.9,127.47,128.06,126.5,80946,2024-02-07 05:00:00,123.79899999999998,112.99199999999999,0.004650063051702347
2024-02-08,6248268.0,126.4998,127.32,126.61,127.48,125.945,70947,2024-02-08 05:00:00,124.447,113.4956,-0.006746685494626203
