t,v_NVDA,vw,o_NVDA,c_NVDA,h_NVDA,l_NVDA,n,t_a,NVDA_SMA_10,NVDA_SMA_50,NVDA_Returns
2023-12-11,509728090.0,46.5326,47.491,46.627,47.531,45.83,699983,2023-12-11 05:00:00,46.7804,45.66416,-0.01850292594619618
2023-12-12,372386860.0,47.1444,46.046,47.657,47.666,46.046,508848,2023-12-12 05:00:00,46.763999999999996,45.72165999999999,0.02209020524588734
2023-12-13,447791860.0,48.1782,47.629,48.088,48.594,47.608,575015,2023-12-13 05:00:00,46.758799999999994,45.81308,0.009043792097698233
2023-12-14,391231740.0,48.1291,48.39,48.35,48.67,47.422,557230,2023-12-14 05:00:00,46.9168,45.89926,0.005448344701380892
2023-12-15,479133580.0,48.9406,48.194,48.89,49.404,48.12,562039,2023-12-15 05:00:00,47.1293,45.98330000000001,0.011168562564632945
2023-12-18,411087170.0,49.8968,49.4,50.077,50.433,49.15,623083,2023-12-18 05:00:00,47.586,46.0696,0.024278993659234915
2023-12-19,464444460.0,49.3148,49.424,49.604,49.7,48.895,640965,2023-12-19 05:00:00,47.8898,46.15621999999999,-0.009445454000838738
2023-12-20,397894390.0,49.1798,49.655,48.111,49.999,48.098,549005,2023-12-20 05:00:00,48.150600000000004,46.20248000000001,-0.030098379162970756
2023-12-21,300347350.0,48.7442,48.811,48.99,49.095,48.419,430620,2023-12-21 05:00:00,48.39,46.24616,0.018270250046766856
2023-12-22,252276760.0,48.9789,49.195,48.83,49.383,48.467,383376,2023-12-22 05:00:00,48.5224,46.28386,-0.0032659726474791873
2023-12-26,243147520.0,49.3569,48.968,49.279,49.6,48.96,353286,2023-12-26 05:00:00,48.7876,46.36022,0.009195166905590968
2023-12-27,233647980.0,49.3587,49.511,49.417,49.68,49.085,336998,2023-12-27 05:00:00,48.9636,46.42666,0.0028003815012480615
2023-12-28,246587480.0,49.6423,49.643,49.522,49.884,49.412,371343,2023-12-28 05:00:00,49.107000000000006,46.53834,0.002124774875043034
2023-12-29,388693300.0,49.5195,49.813,49.522,49.997,48.751,520968,2023-12-29 05:00:00,49.2242,46.68486,0.0
2024-01-02,411170220.0,48.0662,49.244,48.168,49.295,47.595,680131,2024-01-02 05:00:00,49.152,46.80620000000001,-0.027341383627478733
2024-01-03,320822670.0,47.6677,47.485,47.569,48.1841,47.32,493455,2024-01-03 05:00:00,48.9012,46.929840000000006,-0.012435641919946838
2024-01-04,305489390.0,48.0888,47.767,47.998,48.5,47.508,454824,2024-01-04 05:00:00,48.74059999999999,47.030300000000004,0.009018478420820264
