t,v_TMO,vw,o_TMO,c_TMO,h_TMO,l_TMO,n,t_a,TMO_SMA_10,TMO_SMA_50,TMO_Returns
2023-12-11,2030858.0,494.4541,492.56,494.99,497.4525,491.33,44469,2023-12-11 05:00:00,493.034,473.8354,0.010658063989219535
2023-12-12,1420265.0,496.4774,496.33,497.37,498.51,491.47,34530,2023-12-12 05:00:00,494.179,473.86699999999996,0.004808177942988712
2023-12-13,2776711.0,510.4244,498.59,518.54,518.87,496.88,52639,2023-12-13 05:00:00,496.741,474.24559999999997,0.04256388604057326
2023-12-14,2763855.0,523.4274,529.54,521.52,534.43,520.13,56415,2023-12-14 05:00:00,499.317,474.62700000000007,0.005746904771088079
2023-12-15,4354941.0,519.2368,520.77,518.03,523.48,517.72,46687,2023-12-15 05:00:00,501.50699999999995,475.0272,-0.006691977297131446
2023-12-18,1593356.0,518.8887,521.13,518.62,523.86,515.6,29605,2023-12-18 05:00:00,503.83500000000004,475.4286,0.0011389301777890992
2023-12-19,2569382.0,526.4098,521.01,528.14,528.8572,519.81,44498,2023-12-19 05:00:00,507.4889999999999,476.06880000000007,0.01835640738883959
2023-12-20,1497316.0,524.5843,528.0,519.43,532.49,519.37,35390,2023-12-20 05:00:00,510.05100000000004,476.53439999999995,-0.016491839285038168
2023-12-21,1016630.0,524.7361,518.07,526.56,527.03,518.07,28962,2023-12-21 05:00:00,513.2969999999999,477.21299999999997,0.013726584910382478
2023-12-22,1081485.0,529.2318,528.09,529.05,532.92,526.8988,31441,2023-12-22 05:00:00,517.225,478.14279999999997,0.004728805834093075
2023-12-26,639110.0,528.8702,526.88,529.7,531.24,525.7808,20427,2023-12-26 05:00:00,520.6959999999999,479.0798,0.0012286173329554284
2023-12-27,805991.0,531.2881,530.81,531.65,533.07,529.295,23927,2023-12-27 05:00:00,524.124,479.94200000000006,0.0036813290541815036
2023-12-28,763369.0,533.6858,533.0,532.94,536.0,531.5,23605,2023-12-28 05:00:00,525.564,480.9054,0.0024264083513592105
2023-12-29,804285.0,531.175,531.21,530.79,533.97,529.52,26263,2023-12-29 05:00:00,526.491,482.176,-0.004034225241115519
2024-01-02,2310861.0,542.9032,529.56,544.15,546.1,527.37,55039,2024-01-02 05:00:00,529.103,483.6656,0.025170029578552855
2024-01-03,2170268.0,532.2792,542.81,528.82,543.67,527.97,51691,2024-01-03 05:00:00,530.1229999999999,484.9548,-0.028172378939630538
2024-01-04,1831255.0,536.8819,527.32,537.36,539.84,527.32,47435,2024-01-04 05:00:00,531.045,486.46579999999994,0.016149162285843843
2024-01-05,1817209.0,533.8428,533.97,531.23,540.77,530.47,43884,2024-01-05 05:00:00,532.225,487.92519999999996,-0.011407622450498756
2024-01-08,2126866.0,539.4743,529.63,541.38,543.56,527.4,47434,2024-01-08 05:00:00,533.7070000000001,490.0892,0.01910660166029765
2024-01-09,2889967.0,548.3782,538.52,541.85,559.23,536.6467,64114,2024-01-09 05:00:00,534.987,492.12300000000005,0.0008681517603161826
2024-01-10,2026699.0,541.5998,540.79,543.93,549.36,533.88,46938,2024-01-10 05:00:00,536.4100000000001,494.37339999999995,0.0038387007474391943
2024-01-11,1983133.0,545.7442,543.53,546.0,548.54,540.41,47667,2024-01-11 05:00:00,537.845,496.61119999999994,0.0038056367547296688
2024-01-12,2013148.0,547.3454,548.51,544.32,553.08,542.79,44320,2024-01-12 05:00:00,538.983,498.60220000000004,-0.003076923076922977
2024-01-16,1838961.0,545.4743,543.51,542.0,550.84,541.185,48821,2024-01-16 05:00:00,540.104,500.62,-0.004262198706643239
2024-01-17,1966276.0,539.9391,538.75,539.25,545.9506,536.84,46351,2024-01-17 05:00:00,539.6139999999999,502.4536,-0.005073800738007339
2024-01-18,1728161.0,543.3907,537.35,544.42,547.03,535.99,42841,2024-01-18 05:00:00,541.174,504.2472,0.009587389893370268
2024-01-19,2123960.0,549.9706,545.16,551.75,553.275,541.84,45262,2024-01-19 05:00:00,542.613,506.1818,0.013463869806399575
2024-01-22,1818531.0,554.2744,552.88,553.39,558.69,550.53,41250,2024-01-22 05:00:00,544.829,508.06479999999993,0.002972360670593588
2024-01-23,1116609.0,549.1499,556.2,550.74,557.03,545.37,33588,2024-01-23 05:00:00,545.765,509.99340000000007,-0.004788666220929105
2024-01-24,1842524.0,542.0022,549.85,539.99,551.99,539.14,51175,2024-01-24 05:00:00,545.579,511.9078,-0.01951919235937105
2024-01-25,1748147.0,539.4251,543.23,538.21,547.7768,537.64,44070,2024-01-25 05:00:00,545.007,513.7034,-0.0032963573399507062
2024-01-26,3172301.0,550.5178,554.0,547.33,556.41,546.65,62208,2024-01-26 05:00:00,545.14,515.747,0.016945058620241094
2024-01-29,2445913.0,555.8847,550.0,557.77,559.19,547.36,55691,2024-01-29 05:00:00,546.485,517.7172,0.01907441580033975
2024-01-30,2301337.0,566.0056,559.5,567.12,570.0,559.5,51442,2024-01-30 05:00:00,548.9970000000001,519.6487999999999,0.016763181956720663
2024-01-31,3589573.0,545.8464,563.3,538.98,566.0,537.78,80470,2024-01-31 05:00:00,548.97,520.9789999999999,-0.049619128226830234
2024-02-01,2163879.0,546.2572,542.14,552.23,553.92,534.24,52181,2024-02-01 05:00:00,549.751,522.6952,0.024583472485064428
2024-02-02,1327462.0,549.6817,549.02,551.82,554.45,541.885,39925,2024-02-02 05:00:00,549.758,524.3510000000001,-0.0007424442714085711
2024-02-05,1473658.0,551.9621,549.46,551.62,556.975,546.67,31894,2024-02-05 05:00:00,549.581,525.7356,-0.0003624370265666865
2024-02-06,1328171.0,556.5117,552.49,560.28,560.5,551.45,35309,2024-02-06 05:00:00,550.5350000000001,527.1906,0.015699213226496367
2024-02-07,1451424.0,554.6211,562.0,552.31,566.0,552.03,36230,2024-02-07 05:00:00,551.767,528.4212,-0.014225030341971867
2024-02-08,1549469.0,547.2732,552.2,550.89,552.86,541.46,42653,2024-02-08 05:00:00,553.0350000000001,529.6364,-0.0025710198982454857
2024-02-09,1280838.0,550.9862,549.65,550.75,554.13,548.29,29844,2024-02-09 05:00:00,553.3770000000001,530.933,-0.00025413421917264145
2024-02-12,1073036.0,547.2171,551.0,546.86,551.0,544.11,32999,2024-02-12 05:00:00,552.286,532.0118,-0.007063095778483852
2024-02-13,1268029.0,539.0277,541.42,538.6,546.19,534.41,39119,2024-02-13 05:00:00,549.434,532.8686,-0.015104414292506307
2024-02-14,1296996.0,546.3201,541.64,548.27,548.69,541.64,37413,2024-02-14 05:00:00,550.3629999999999,533.9114,0.017953954697363494
2024-02-15,1519047.0,548.7747,547.26,548.57,553.225,545.28,35557,2024-02-15 05:00:00,549.9970000000001,534.976,0.0005471756616266532
2024-02-16,1028206.0,548.687,546.32,547.84,552.69,546.32,25499,2024-02-16 05:00:00,549.5989999999999,536.1008,-0.0013307326321162494
2024-02-20,988694.0,548.0643,544.86,548.14,550.41,542.35,32245,2024-02-20 05:00:00,549.251,537.1874,0.0005476051401869242
2024-02-21,786478.0,549.2913,546.11,552.85,552.97,544.29,26354,2024-02-21 05:00:00,548.508,538.3624000000001,0.00859269529682205
2024-02-22,1139590.0,557.9074,555.0,560.49,560.74,550.27,31760,2024-02-22 05:00:00,549.326,539.7768,0.01381929999095588
2024-02-23,970071.0,564.7432,562.87,564.71,566.68,560.86,30040,2024-02-23 05:00:00,550.708,541.1712,0.0075291263002017494
2024-02-26,758574.0,563.0954,563.34,563.48,565.99,561.01,25148,2024-02-26 05:00:00,551.981,542.4934000000001,-0.002178109117954352
2024-02-27,901044.0,565.3273,564.98,566.17,567.82,560.84,25541,2024-02-27 05:00:00,553.912,543.446,0.004773905018811586
2024-02-28,1021434.0,570.7502,565.2,572.03,573.01,565.02,29532,2024-02-28 05:00:00,557.255,544.4562,0.010350248158680353
2024-02-29,1794277.0,570.7759,574.65,570.18,575.0,567.55,37791,2024-02-29 05:00:00,559.4460000000001,545.4992,-0.003234096113840179
2024-03-01,1440176.0,574.6296,564.56,576.33,578.5,563.0,39096,2024-03-01 05:00:00,562.222,546.6534,0.010786067557613466
2024-03-04,1547722.0,579.1146,575.4,581.64,582.54,571.521,42165,2024-03-04 05:00:00,565.602,547.7234,0.009213471448649146
2024-03-05,1973288.0,583.9972,581.13,584.61,586.15,580.0,49932,2024-03-05 05:00:00,569.249,549.027,0.00510625128945752
2024-03-06,1886807.0,592.6276,588.35,591.5,598.35,585.81,45512,2024-03-06 05:00:00,573.114,550.3258000000001,0.011785634867689465
2024-03-07,1819492.0,595.9068,595.0,597.66,598.905,592.5,36986,2024-03-07 05:00:00,576.831,551.698,0.010414201183431837
2024-03-08,1600305.0,598.8867,597.0,597.61,603.82,595.96,37533,2024-03-08 05:00:00,580.121,553.0562,-8.36596057958161e-05
2024-03-11,1380447.0,596.273,594.18,599.43,599.99,589.64,33385,2024-03-11 04:00:00,583.716,554.4118,0.003045464433325984
2024-03-12,1146315.0,598.0572,598.9,597.25,600.62,594.69,34926,2024-03-12 04:00:00,586.824,555.698,-0.0036367882822013753
2024-03-13,1035189.0,594.2081,599.03,593.32,599.03,591.045,35117,2024-03-13 04:00:00,588.953,556.9486,-0.006580159062369084
2024-03-14,1757994.0,584.4085,590.98,584.91,595.1,581.25,44868,2024-03-14 04:00:00,590.426,557.7638000000001,-0.014174475830917688
