t,v_V,vw,o_V,c_V,h_V,l_V,n,t_a,V_SMA_10,V_SMA_50,V_Returns
2023-12-11,6479312.0,256.7006,255.0,256.52,257.63,255.0,80079,2023-12-11 05:00:00,255.17199999999997,243.142,0.003049972628450748
2023-12-12,5946564.0,259.0516,257.3,259.56,259.72,256.395,77054,2023-12-12 05:00:00,255.83399999999997,243.7078,0.011850927802900424
2023-12-13,4859887.0,261.2037,259.15,262.38,262.48,258.69,78245,2023-12-13 05:00:00,256.649,244.37919999999997,0.010864539990753652
2023-12-14,8168683.0,259.0058,263.19,258.73,263.25,256.4,130558,2023-12-14 05:00:00,256.854,244.92940000000002,-0.013911121274487348
2023-12-15,13373952.0,257.2678,254.51,258.03,258.37,254.446,96376,2023-12-15 05:00:00,257.012,245.42039999999997,-0.0027055231322229423
2023-12-18,6041140.0,258.5962,258.7,258.37,259.59,257.9473,97116,2023-12-18 05:00:00,257.40500000000003,245.887,0.0013176762391970964
2023-12-19,8701409.0,259.6682,258.61,259.99,260.34,257.2,74234,2023-12-19 05:00:00,257.943,246.398,0.006270077795409668
2023-12-20,7240857.0,258.3621,260.5,257.11,260.82,257.08,89050,2023-12-20 05:00:00,258.225,246.8082,-0.011077349128812641
2023-12-21,6246652.0,259.1321,257.51,259.54,259.99,257.04,76447,2023-12-21 05:00:00,258.597,247.28539999999998,0.0094512076543114
2023-12-22,5111707.0,259.027,260.0,258.43,261.205,258.22,68885,2023-12-22 05:00:00,258.866,247.7184,-0.004276797410803779
2023-12-26,2085089.0,259.1266,258.53,259.16,259.735,258.53,45427,2023-12-26 05:00:00,259.13,248.1482,0.0028247494485935665
2023-12-27,4034658.0,258.9238,259.25,258.93,259.77,258.31,61956,2023-12-27 05:00:00,259.067,248.52540000000002,-0.0008874826362094135
2023-12-28,2995454.0,260.2022,258.54,260.4,260.97,258.54,64435,2023-12-28 05:00:00,258.869,248.90939999999998,0.005677210056771909
2023-12-29,4074872.0,260.4992,260.57,260.35,261.46,259.67,66682,2023-12-29 05:00:00,259.031,249.36700000000002,-0.00019201228878629184
2024-01-02,5470986.0,258.7542,259.61,258.87,260.09,257.67,84420,2024-01-02 05:00:00,259.115,249.86820000000003,-0.005684655271749661
2024-01-03,4148294.0,257.8691,258.55,257.98,258.86,256.86,69328,2024-01-03 05:00:00,259.07599999999996,250.3602,-0.0034380190829372825
2024-01-04,3842976.0,259.7457,258.07,259.61,261.04,258.0,65464,2024-01-04 05:00:00,259.038,250.9218,0.006318319249554172
2024-01-05,3748636.0,259.8826,260.78,259.69,261.4599,258.75,74602,2024-01-05 05:00:00,259.296,251.4226,0.00030815453950139293
2024-01-08,4659030.0,261.5042,260.94,262.54,262.62,259.95,79045,2024-01-08 05:00:00,259.596,251.9364,0.010974623589664612
2024-01-09,7055782.0,263.0299,262.0,263.33,263.62,261.1435,86245,2024-01-09 05:00:00,260.086,252.5774,0.0030090652852896582
2024-01-10,4354384.0,264.1747,264.97,264.56,265.37,262.86,75427,2024-01-10 05:00:00,260.626,253.2832,0.004670945201838084
2024-01-11,5598998.0,263.8885,265.46,264.03,266.19,262.4,88758,2024-01-11 05:00:00,261.136,253.90220000000002,-0.0020033262775931426
2024-01-12,4656238.0,264.2818,265.13,264.17,265.55,263.71,72897,2024-01-12 05:00:00,261.51300000000003,254.4836,0.0005302427754423356
2024-01-16,6196414.0,264.9138,263.52,265.24,265.66,262.35,91142,2024-01-16 05:00:00,262.002,255.0168,0.004050422076693039
2024-01-17,5118722.0,266.2253,264.42,266.63,267.1,264.39,92540,2024-01-17 05:00:00,262.778,255.4844,0.005240536872266555
2024-01-18,6694264.0,267.8526,267.88,268.14,268.78,266.415,86204,2024-01-18 05:00:00,263.794,255.9752,0.005663278700821284
2024-01-19,7226520.0,269.9394,268.18,270.9,271.15,267.05,102763,2024-01-19 05:00:00,264.923,256.5234,0.010293130454240185
2024-01-22,5984272.0,271.4138,272.24,271.2,272.35,270.36,101530,2024-01-22 05:00:00,266.07399999999996,257.05199999999996,0.001107419712070845
2024-01-23,5882995.0,271.2272,271.55,271.26,271.87,269.91,87598,2024-01-23 05:00:00,266.946,257.599,0.00022123893805314765
2024-01-24,5021703.0,271.9095,272.57,271.65,272.86,271.075,85423,2024-01-24 05:00:00,267.778,258.19919999999996,0.0014377350143772727
2024-01-25,6894942.0,271.5752,271.95,272.61,272.78,270.8,121402,2024-01-25 05:00:00,268.58299999999997,258.7464,0.0035339591385976643
2024-01-26,8586890.0,268.0845,265.94,267.94,270.8704,265.6,153281,2024-01-26 05:00:00,268.974,259.2118,-0.017130699534133043
2024-01-29,6498780.0,272.7757,266.97,273.66,275.07,266.71,117213,2024-01-29 05:00:00,269.923,259.7462,0.02134806299917913
2024-01-30,6548999.0,277.1207,274.59,277.15,278.64,274.19,103940,2024-01-30 05:00:00,271.114,260.327,0.01275305123145487
2024-01-31,6139312.0,275.0515,277.12,273.26,279.99,273.18,110124,2024-01-31 05:00:00,271.777,260.8208,-0.014035720728847179
2024-02-01,7063722.0,276.4122,273.39,277.05,277.19,273.36,99176,2024-02-01 05:00:00,272.668,261.37059999999997,0.013869574763961223
2024-02-02,4848891.0,277.2228,277.61,277.18,278.5,275.68,94094,2024-02-02 05:00:00,273.296,261.9148,0.00046922938097804234
2024-02-05,4899140.0,275.9371,277.4,275.58,278.0,275.125,89175,2024-02-05 05:00:00,273.73400000000004,262.3818,-0.005772422252687814
2024-02-06,4400250.0,275.88,274.8,276.76,276.88,274.03,70555,2024-02-06 05:00:00,274.284,262.8426,0.0042818782204805395
2024-02-07,4785902.0,278.9093,279.38,279.39,279.54,277.06,74755,2024-02-07 05:00:00,275.058,263.3444,0.009502818326347695
2024-02-08,5833409.0,276.1126,279.54,275.78,279.66,275.28,89719,2024-02-08 05:00:00,275.375,263.7772,-0.012921006478399444
2024-02-09,4618283.0,276.232,275.0,276.43,277.18,274.09,70851,2024-02-09 05:00:00,276.22400000000005,264.247,0.0023569511929799614
