t,v_WFC,vw,o_WFC,c_WFC,h_WFC,l_WFC,n,t_a,WFC_SMA_10,WFC_SMA_50,WFC_Returns
2023-12-11,21116909.0,45.9291,45.9,46.0,46.22,45.57,118466,2023-12-11 05:00:00,44.837,41.5642,-0.002169197396963196
2023-12-12,19787054.0,46.4397,45.94,46.47,46.76,45.81,114229,2023-12-12 05:00:00,45.147000000000006,41.70140000000001,0.010217391304347734
2023-12-13,26549110.0,47.2887,46.495,47.76,47.775,46.35,142738,2023-12-13 05:00:00,45.545,41.883199999999995,0.02775984506132989
2023-12-14,41115353.0,50.0302,48.44,50.51,50.55,48.44,216417,2023-12-14 05:00:00,46.137,42.114,0.05757956448911217
2023-12-15,44099216.0,50.3175,50.1,50.31,50.77,49.92,183394,2023-12-15 05:00:00,46.666,42.3342,-0.003959611958028075
2023-12-18,20531707.0,49.9313,50.41,49.66,50.48,49.53,124737,2023-12-18 05:00:00,47.12,42.5336,-0.012919896640826933
2023-12-19,20410764.0,49.9337,49.67,50.09,50.32,49.31,114806,2023-12-19 05:00:00,47.68,42.741400000000006,0.008658880386629209
2023-12-20,20481526.0,49.9226,49.83,49.34,50.5681,49.29,125542,2023-12-20 05:00:00,48.164,42.9318,-0.014973048512677223
2023-12-21,11127688.0,49.3877,49.62,49.45,49.83,49.13,82234,2023-12-21 05:00:00,48.569,43.126999999999995,0.0022294284556141353
2023-12-22,10450410.0,49.3719,49.66,49.18,49.86,49.09,75836,2023-12-22 05:00:00,48.877,43.315799999999996,-0.005460060667340838
2023-12-26,8856695.0,49.5448,49.16,49.64,49.67,49.03,58946,2023-12-26 05:00:00,49.241,43.4894,0.0093533956893046
2023-12-27,12536734.0,49.3084,49.41,49.33,49.565,49.15,84467,2023-12-27 05:00:00,49.527,43.643,-0.006244963738920251
2023-12-28,9864834.0,49.4878,49.14,49.48,49.65,49.09,69443,2023-12-28 05:00:00,49.699,43.793,0.0030407459963510686
2023-12-29,11733578.0,49.3063,49.35,49.22,49.575,49.21,80118,2023-12-29 05:00:00,49.57000000000001,43.946799999999996,-0.005254648342764678
2024-01-02,14915982.0,49.3679,49.05,49.33,49.76,48.82,118710,2024-01-02 05:00:00,49.472,44.10979999999999,0.00223486387647287
2024-01-03,21653564.0,48.6458,49.09,48.68,49.09,48.32,138113,2024-01-03 05:00:00,49.374,44.278,-0.013176565984188038
2024-01-04,15917476.0,49.4574,48.82,49.28,49.855,48.77,102561,2024-01-04 05:00:00,49.293,44.474,0.012325390304026351
2024-01-05,15074813.0,50.0134,49.4,49.92,50.47,49.29,105387,2024-01-05 05:00:00,49.351,44.68679999999999,0.012987012987013102
2024-01-08,15119720.0,49.5721,49.38,49.92,49.985,49.145,99314,2024-01-08 05:00:00,49.398,44.9046,0.0
2024-01-09,13625243.0,49.2363,49.44,49.29,49.46,49.05,94493,2024-01-09 05:00:00,49.409,45.0974,-0.012620192307692402
2024-01-10,11840834.0,48.9249,49.0,49.08,49.115,48.605,94383,2024-01-10 05:00:00,49.352999999999994,45.3038,-0.004260499087035963
2024-01-11,21049150.0,48.8278,48.89,49.04,49.08,48.34,147549,2024-01-11 05:00:00,49.324,45.495999999999995,-0.0008149959250203231
2024-01-12,30454104.0,47.649,47.95,47.4,48.78,47.0,211010,2024-01-12 05:00:00,49.116,45.648599999999995,-0.03344208809135396
2024-01-16,25209850.0,46.7974,46.77,46.82,47.06,46.22,162783,2024-01-16 05:00:00,48.876,45.7928,-0.01223628691983114
2024-01-17,17445622.0,46.6645,46.24,46.67,47.055,46.21,125671,2024-01-17 05:00:00,48.61,45.916000000000004,-0.003203759077317403
2024-01-18,17886253.0,46.3813,46.55,46.44,46.62,46.12,113168,2024-01-18 05:00:00,48.385999999999996,46.01240000000001,-0.004928219412899115
2024-01-19,25606893.0,47.6046,46.63,48.12,48.18,46.38,155186,2024-01-19 05:00:00,48.269999999999996,46.148,0.036175710594315236
2024-01-22,19372216.0,48.5189,48.23,48.53,48.93,48.16,121906,2024-01-22 05:00:00,48.131,46.297799999999995,0.008520365752286096
2024-01-23,16422119.0,48.8885,48.65,49.12,49.215,48.4001,111697,2024-01-23 05:00:00,48.051,46.46060000000001,0.012157428394807157
2024-01-24,17776027.0,49.7064,49.37,49.49,50.09,49.25,115109,2024-01-24 05:00:00,48.071000000000005,46.642399999999995,0.007532573289902311
2024-01-25,17979557.0,49.7715,49.68,49.88,49.935,49.5,106485,2024-01-25 05:00:00,48.150999999999996,46.8222,0.007880379874722232
2024-01-26,19211129.0,50.2596,49.84,50.32,50.5,49.77,111835,2024-01-26 05:00:00,48.279,47.0132,0.008821170809943712
2024-01-29,16725249.0,50.3115,50.16,50.35,50.67,49.99,101830,2024-01-29 05:00:00,48.574,47.1786,0.0005961844197137633
2024-01-30,14736829.0,51.0843,50.63,51.19,51.27,50.62,91776,2024-01-30 05:00:00,49.010999999999996,47.345600000000005,0.01668321747765633
2024-01-31,20394382.0,50.6565,51.01,50.18,51.44,50.155,119635,2024-01-31 05:00:00,49.362,47.498599999999996,-0.019730416096893855
2024-02-01,27300904.0,48.6029,49.82,48.73,49.965,47.88,165609,2024-02-01 05:00:00,49.591,47.614000000000004,-0.028895974491829457
2024-02-02,19329199.0,48.9389,48.5,49.16,49.57,48.06,126609,2024-02-02 05:00:00,49.695,47.74139999999999,0.008824132977631738
2024-02-05,14202723.0,48.6894,48.61,48.7,48.92,48.24,88445,2024-02-05 05:00:00,49.712,47.8634,-0.009357200976403468
2024-02-06,13928474.0,48.3668,48.52,48.29,49.12,48.01,89753,2024-02-06 05:00:00,49.629,47.973600000000005,-0.008418891170431264
2024-02-07,15839616.0,48.2585,48.45,48.48,48.6,47.45,96321,2024-02-07 05:00:00,49.528,48.0848,0.003934562021122412
2024-02-08,10839238.0,48.2954,48.18,48.35,48.5,48.055,75629,2024-02-08 05:00:00,49.375,48.1914,-0.0026815181518150544
2024-02-09,16568980.0,47.924,48.22,48.06,48.27,47.465,115439,2024-02-09 05:00:00,49.149,48.2852,-0.0059979317476731575
2024-02-12,14101942.0,48.8666,48.0,48.92,49.29,47.8814,91219,2024-02-12 05:00:00,49.006,48.388000000000005,0.017894298793175167
2024-02-13,13660054.0,48.1528,48.4,48.24,48.71,47.5901,109309,2024-02-13 05:00:00,48.711,48.46099999999999,-0.013900245298446468
2024-02-14,12639358.0,48.328,48.6,48.53,48.72,47.96,88881,2024-02-14 05:00:00,48.54600000000001,48.5312,0.006011608623548881
2024-02-15,46467802.0,51.2293,48.73,52.04,52.45,48.62,283204,2024-02-15 05:00:00,48.876999999999995,48.6696,0.07232639604368418
2024-02-16,24359733.0,51.8846,51.94,51.91,52.32,51.32,144993,2024-02-16 05:00:00,49.152,48.818000000000005,-0.002498078401229842
2024-02-20,19839124.0,51.8623,51.5,51.77,52.24,51.27,118436,2024-02-20 05:00:00,49.458999999999996,48.9634,-0.002696975534578927
