t,v_XOM,vw,o_XOM,c_XOM,h_XOM,l_XOM,n,t_a,XOM_SMA_10,XOM_SMA_50,XOM_Returns
2023-12-11,22252250.0,99.3531,99.8,99.62,99.86,98.58,188728,2023-12-11 05:00:00,101.15400000000001,106.17039999999999,0.0007031642390760151
2023-12-12,26083964.0,98.066,98.68,98.05,98.68,97.48,209532,2023-12-12 05:00:00,100.56899999999999,105.8188,-0.015759887572776576
2023-12-13,19915444.0,98.3469,98.04,98.92,99.03,97.655,166425,2023-12-13 05:00:00,100.227,105.4806,0.008873023967363558
2023-12-14,26165653.0,101.276,99.85,101.58,102.135,99.72,223472,2023-12-14 05:00:00,100.111,105.28219999999999,0.026890416498180247
2023-12-15,55527018.0,100.7926,100.59,100.9,101.0,100.31,200900,2023-12-15 05:00:00,99.902,105.1204,-0.006694231147863716
2023-12-18,21610428.0,102.367,102.13,101.65,103.11,101.52,189617,2023-12-18 05:00:00,99.824,105.01,0.007433102081268572
2023-12-19,18904662.0,102.7672,102.0,102.99,103.19,101.79,167539,2023-12-19 05:00:00,100.07900000000001,104.8514,0.013182488932611758
2023-12-20,20988863.0,102.3601,103.5,101.27,103.94,101.125,190454,2023-12-20 05:00:00,100.295,104.6678,-0.01670065054859693
2023-12-21,19250933.0,101.4545,101.47,101.73,102.005,100.805,156927,2023-12-21 05:00:00,100.626,104.57260000000001,0.004542312629604028
2023-12-22,12927831.0,102.3095,102.31,101.91,102.94,101.82,118767,2023-12-22 05:00:00,100.862,104.4814,0.0017693895606014642
2023-12-26,16835144.0,102.5147,102.74,102.14,103.03,102.115,126825,2023-12-26 05:00:00,101.114,104.3268,0.0022568933372584254
2023-12-27,14558830.0,101.8662,102.04,101.66,102.55,101.335,123967,2023-12-27 05:00:00,101.475,104.16099999999999,-0.004699432151948346
2023-12-28,16329252.0,100.7624,101.39,100.19,101.61,100.13,144775,2023-12-28 05:00:00,101.602,103.93700000000001,-0.014459964587841823
2023-12-29,17746408.0,99.9738,100.37,99.98,100.59,99.62,153732,2023-12-29 05:00:00,101.44200000000001,103.6776,-0.002096017566623365
2024-01-02,23483049.0,102.1985,100.92,102.36,103.1,100.85,214155,2024-01-02 05:00:00,101.588,103.46440000000001,0.023804760952190307
2024-01-03,23490779.0,102.9693,102.27,103.22,103.62,101.66,193442,2024-01-03 05:00:00,101.74499999999999,103.3072,0.008401719421649023
2024-01-04,19395154.0,102.8263,104.08,102.32,104.57,102.05,171790,2024-01-04 05:00:00,101.678,103.16460000000001,-0.00871924045727579
2024-01-05,15827392.0,102.7108,103.17,102.63,103.3987,102.125,146021,2024-01-05 05:00:00,101.814,103.04939999999999,0.003029710711493383
2024-01-08,23370127.0,100.1049,100.73,100.92,101.04,98.9,219649,2024-01-08 05:00:00,101.73299999999999,102.89599999999999,-0.016661794796842933
2024-01-09,19496647.0,99.7373,101.29,99.67,101.29,99.19,172655,2024-01-09 05:00:00,101.50899999999999,102.7374,-0.012386048355132795
2024-01-10,18206088.0,98.6701,99.8,98.69,99.8,98.16,174870,2024-01-10 05:00:00,101.164,102.6002,-0.009832447075348694
2024-01-11,15833360.0,98.8714,99.04,98.67,99.5,98.56,144774,2024-01-11 05:00:00,100.865,102.456,-0.00020265477758629746
2024-01-12,18038183.0,99.7583,100.14,99.95,100.65,99.1703,145395,2024-01-12 05:00:00,100.841,102.33800000000001,0.012972534711665151
2024-01-16,20235699.0,98.1523,99.82,97.69,100.01,97.53,204887,2024-01-16 05:00:00,100.612,102.179,-0.02261130565282643
2024-01-17,18384015.0,97.0788,96.6,96.98,97.96,96.58,167987,2024-01-17 05:00:00,100.074,101.9364,-0.007267888217831864
2024-01-18,20940275.0,96.5608,97.0,96.8,97.09,95.82,180232,2024-01-18 05:00:00,99.432,101.7168,-0.0018560527943907168
2024-01-19,20042432.0,96.7995,96.72,96.95,97.0156,96.41,155520,2024-01-19 05:00:00,98.895,101.5384,0.0015495867768595684
2024-01-22,19955946.0,96.513,96.7,96.82,97.095,95.77,154242,2024-01-22 05:00:00,98.314,101.39059999999999,-0.0013408973697783821
2024-01-23,15863433.0,97.8708,96.81,97.91,98.5,96.73,141763,2024-01-23 05:00:00,98.013,101.29019999999998,0.011258004544515643
2024-01-24,17330646.0,99.0147,98.32,99.6,99.65,97.74,151289,2024-01-24 05:00:00,98.006,101.223,0.01726074966806257
2024-01-25,22089510.0,101.0015,100.31,102.13,102.18,99.615,194763,2024-01-25 05:00:00,98.35,101.19059999999999,0.025401606425702772
